EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
750000.0625,750000.0625,649444.1875,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.008056640625,0.968994140625,-0.00732421875,0.0,0.0,0.0,13.333333969116211,1.0,1.0,Rest
750000.0625,750000.0625,750000.0625,726472.25,525609.0,750000.0625,750000.0625,750000.0625,0.00244140625,0.98193359375,-0.01904296875,0.0,0.0,0.0,13.333333969116211,2.0,1.0,Rest
750000.0625,433579.53125,750000.0625,-155543.296875,54003.24609375,750000.0625,750000.0625,750000.0625,0.000732421875,0.986328125,-0.021240234375,0.0,0.0,0.0,13.333333969116211,3.0,1.0,Rest
750000.0625,311552.5625,673089.75,-102666.84375,9836.556640625,750000.0625,750000.0625,750000.0625,-0.001708984375,0.98876953125,-0.021484375,0.0,0.0,0.0,13.333333969116211,4.0,1.0,Rest
750000.0625,320938.25,627105.875,137030.59375,-151879.578125,750000.0625,750000.0625,750000.0625,-0.001220703125,0.988525390625,-0.023193359375,0.0,0.0,0.0,13.333333969116211,5.0,1.0,Rest
750000.0625,443713.71875,750000.0625,-155885.28125,-300002.1875,750000.0625,750000.0625,750000.0625,-0.0009765625,0.986572265625,-0.019287109375,0.0,0.0,0.0,13.333333969116211,6.0,1.0,Rest
750000.0625,667114.125,750000.0625,-266570.59375,-259849.234375,750000.0625,750000.0625,750000.0625,0.000732421875,0.9833984375,-0.02294921875,-5.371093273162842,-4.699706554412842,-4.150390148162842,13.333333969116211,7.0,1.0,Rest
750000.0625,750000.0625,750000.0625,-18573.763671875,-178976.5,750000.0625,750000.0625,750000.0625,-0.000244140625,0.982177734375,-0.0234375,-1.4038084745407104,-2.227782964706421,-1.2207030057907104,13.333333969116211,8.0,1.0,Rest
750000.0625,750000.0625,750000.0625,556406.3125,637913.125,750000.0625,750000.0625,750000.0625,0.00244140625,0.980224609375,-0.02392578125,-0.3967284858226776,-1.6174315214157104,-0.6103515028953552,13.333333969116211,9.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.00341796875,0.97900390625,-0.024658203125,0.1220703050494194,-1.4038084745407104,-0.3051757514476776,13.333333969116211,10.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.0029296875,0.978271484375,-0.02392578125,0.3967284858226776,-1.2207030057907104,-0.3662109076976776,13.333333969116211,11.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.001708984375,0.97900390625,-0.027099609375,0.4577636420726776,-1.2207030057907104,-0.3967284858226776,13.333333969116211,12.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.0,0.98291015625,-0.02490234375,0.3967284858226776,-1.1291502714157104,-0.4577636420726776,13.333333969116211,13.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.00244140625,0.984619140625,-0.026123046875,0.4272460639476776,-1.1291502714157104,-0.6713866591453552,13.333333969116211,14.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,-0.00341796875,0.986572265625,-0.027099609375,0.4882812201976776,-1.0681151151657104,-0.7629393935203552,13.333333969116211,15.0,1.0,Rest
699886.0,750000.0625,750000.0625,685544.1875,720825.4375,666760.8125,730185.3125,652660.3125,-0.00341796875,0.98974609375,-0.02490234375,0.5187987685203552,-1.0375975370407104,-0.8239745497703552,13.333333969116211,16.0,1.0,Rest
595396.75,744945.125,750000.0625,582882.0,613238.125,567022.5625,620730.25,555241.4375,-0.0029296875,0.990234375,-0.02490234375,0.3967284858226776,-1.0681151151657104,-0.7629393935203552,13.333333969116211,17.0,1.0,Rest
513088.25,642160.9375,750000.0625,501989.0,528423.25,488440.625,534523.125,478362.03125,-0.004638671875,0.9892578125,-0.025390625,0.3967284858226776,-1.0986326932907104,-0.8239745497703552,13.333333969116211,18.0,1.0,Rest
445671.28125,557782.25,750000.0625,435644.09375,458767.0625,424000.4375,463877.5,415247.875,-0.002685546875,0.98876953125,-0.027099609375,0.2441406100988388,-1.0070799589157104,-0.8239745497703552,13.333333969116211,19.0,1.0,Rest
390658.96875,488792.1875,750000.0625,381547.6875,401839.15625,371493.53125,406269.4375,364217.5,-0.0029296875,0.98681640625,-0.029296875,0.2441406100988388,-1.0681151151657104,-0.8850097060203552,13.333333969116211,20.0,1.0,Rest
360251.75,450973.03125,750000.0625,351994.46875,370855.0625,342684.34375,374695.375,336447.3125,-0.003662109375,0.985107421875,-0.02587890625,0.1831054538488388,-0.9765624403953552,-0.8544921278953552,13.333333969116211,21.0,1.0,Rest
348427.3125,436418.53125,750000.0625,340390.34375,358925.40625,331417.5625,362405.9375,325458.5,-0.002197265625,0.983154296875,-0.02587890625,0.2441406100988388,-1.0681151151657104,-0.7019042372703552,13.333333969116211,22.0,1.0,Rest
338762.0625,424507.3125,750000.0625,330846.875,349017.9375,322139.71875,352315.90625,316307.25,-0.00537109375,0.985595703125,-0.02734375,0.2136230319738388,-1.0681151151657104,-0.7934569716453552,13.333333969116211,23.0,1.0,Rest
329861.78125,413468.5,750000.0625,322052.34375,339837.09375,313603.84375,343008.46875,307995.0625,-0.00390625,0.98583984375,-0.022705078125,0.1525878757238388,-1.0070799589157104,-0.7934569716453552,13.333333969116211,24.0,1.0,Rest
