EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,State
750000.0625,557635.8125,750000.0625,674389.1875,-200139.046875,698939.4375,397164.5,508177.9375,0.044921875,0.899169921875,-0.314453125,0.0,0.0,0.0,73.33333587646484,1.0,1.0,WarmUp
673111.3125,149314.75,750000.0625,750000.0625,-330649.375,750000.0625,417424.9375,409719.125,0.04052734375,0.90869140625,-0.332275390625,0.0,0.0,0.0,73.33333587646484,2.0,1.0,WarmUp
516614.71875,70995.3984375,750000.0625,750000.0625,-264530.0625,712578.625,245141.515625,225915.0,0.0380859375,0.91357421875,-0.33642578125,0.0,0.0,0.0,73.33333587646484,3.0,1.0,WarmUp
512382.75,227068.609375,605274.1875,750000.0625,-155307.703125,482975.71875,135928.203125,81754.7265625,0.036865234375,0.918212890625,-0.33837890625,0.0,0.0,0.0,73.33333587646484,4.0,1.0,WarmUp
444488.59375,499915.46875,750000.0625,676467.1875,-93513.53125,594692.9375,242252.953125,98066.40625,0.036376953125,0.9208984375,-0.3408203125,0.0,0.0,0.0,73.33333587646484,5.0,1.0,WarmUp
339085.0,575869.125,750000.0625,710722.125,43873.8828125,735323.0625,411614.90625,440209.65625,0.037841796875,0.923095703125,-0.3408203125,0.0,0.0,0.0,73.33333587646484,6.0,1.0,WarmUp
470499.5,576842.25,750000.0625,750000.0625,265005.96875,750000.0625,432903.59375,534495.9375,0.038818359375,0.9267578125,-0.34326171875,-5.462646007537842,-5.554198741912842,-6.317138195037842,73.33333587646484,7.0,1.0,WarmUp
603269.5,668692.875,750000.0625,750000.0625,356190.96875,724535.9375,667711.125,534291.5625,0.04052734375,0.93310546875,-0.344482421875,-0.9155272841453552,-2.990722417831421,-2.349853277206421,73.33333587646484,8.0,1.0,WarmUp
636167.9375,750000.0625,750000.0625,750000.0625,463015.78125,722701.375,750000.0625,661962.25,0.04345703125,0.935546875,-0.34619140625,0.1220703050494194,-2.502441167831421,-1.3732908964157104,73.33333587646484,9.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,687098.9375,688491.25,736426.4375,655744.125,0.0458984375,0.941162109375,-0.344970703125,0.3356933295726776,-2.227782964706421,-0.8239745497703552,73.33333587646484,10.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.0498046875,0.946044921875,-0.34423828125,0.1831054538488388,-2.014159917831421,-0.6713866591453552,73.33333587646484,11.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.052001953125,0.9482421875,-0.3447265625,-0.0610351525247097,-1.8920897245407104,-0.4272460639476776,73.33333587646484,12.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.051513671875,0.9482421875,-0.342529296875,-0.3967284858226776,-1.6174315214157104,-0.1831054538488388,73.33333587646484,13.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.05078125,0.947265625,-0.341552734375,-0.7629393935203552,-1.4648436307907104,0.0,73.33333587646484,14.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.052001953125,0.946044921875,-0.340576171875,-1.2207030057907104,-1.1901854276657104,0.2746581733226776,73.33333587646484,15.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.04931640625,0.9453125,-0.339111328125,-1.5563963651657104,-1.0681151151657104,0.3051757514476776,73.33333587646484,16.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.046630859375,0.94140625,-0.3388671875,-1.9836424589157104,-0.8544921278953552,0.3051757514476776,73.33333587646484,17.0,1.0,WarmUp
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.04541015625,0.940673828125,-0.338623046875,-2.227782964706421,-0.7019042372703552,0.3051757514476776,73.33333587646484,18.0,1.0,WarmUp
675294.0,745750.25,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.04248046875,0.93994140625,-0.3388671875,-2.471923589706421,-0.5798339247703552,0.4577636420726776,73.33333587646484,19.0,1.0,WarmUp
644442.6875,708210.3125,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.04052734375,0.937255859375,-0.339599609375,-2.716064214706421,-0.5798339247703552,0.4882812201976776,73.33333587646484,20.0,1.0,WarmUp
625401.75,683944.25,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.03857421875,0.93505859375,-0.338134765625,-2.929687261581421,-0.5798339247703552,0.5187987685203552,73.33333587646484,21.0,1.0,WarmUp
609086.6875,662903.0,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.0361328125,0.932373046875,-0.337890625,-3.112792730331421,-0.6408690810203552,0.4272460639476776,73.33333587646484,22.0,1.0,WarmUp
593891.75,643744.6875,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.03271484375,0.9326171875,-0.3388671875,-3.326415777206421,-0.6713866591453552,0.4882812201976776,73.33333587646484,23.0,1.0,WarmUp
578775.3125,625416.75,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.029541015625,0.93017578125,-0.337890625,-3.479003667831421,-0.6713866591453552,0.2746581733226776,73.33333587646484,24.0,1.0,WarmUp
564220.3125,607988.25,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.027587890625,0.93017578125,-0.3388671875,-3.631591558456421,-0.7324218153953552,0.2136230319738388,73.33333587646484,25.0,1.0,WarmUp
551479.625,592434.1875,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.027099609375,0.931884765625,-0.340576171875,-3.631591558456421,-0.9765624403953552,0.0915527269244194,73.33333587646484,26.0,1.0,WarmUp
540692.125,578982.1875,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.026123046875,0.93701171875,-0.339111328125,-3.753661870956421,-1.2207030057907104,-0.03051757626235485,73.33333587646484,27.0,1.0,WarmUp
530497.9375,566571.0,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.027099609375,0.93896484375,-0.336669921875,-3.906249761581421,-1.2817381620407104,-0.1220703050494194,73.33333587646484,28.0,1.0,WarmUp
