EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
693578.6875,750000.0625,534694.0,750000.0625,705631.125,750000.0625,750000.0625,750000.0625,0.020751953125,0.937744140625,0.051513671875,0.0,0.0,0.0,20.0,1.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,478974.125,750000.0625,750000.0625,750000.0625,0.017822265625,0.948486328125,0.04443359375,0.0,0.0,0.0,20.0,2.0,1.0,Rest
750000.0625,386405.71875,750000.0625,-154753.734375,41537.23046875,750000.0625,750000.0625,750000.0625,0.017578125,0.953369140625,0.041015625,0.0,0.0,0.0,20.0,3.0,1.0,Rest
750000.0625,302024.75,701263.3125,-488950.4375,-111563.5546875,750000.0625,750000.0625,750000.0625,0.020263671875,0.9560546875,0.044677734375,0.0,0.0,0.0,20.0,4.0,1.0,Rest
750000.0625,318947.15625,610304.375,-306554.09375,-321477.03125,750000.0625,750000.0625,750000.0625,0.022216796875,0.958251953125,0.043212890625,0.0,0.0,0.0,20.0,5.0,1.0,Rest
750000.0625,465610.8125,749502.1875,-480871.53125,-297105.75,750000.0625,750000.0625,750000.0625,0.025390625,0.9619140625,0.043701171875,-0.5798339247703552,-0.3967284858226776,-0.5493163466453552,20.0,6.0,1.0,Rest
750000.0625,682116.6875,750000.0625,-187715.140625,-202177.265625,750000.0625,750000.0625,750000.0625,0.029541015625,0.962646484375,0.04248046875,-10.711668968200684,0.9460448622703552,-0.6408690810203552,20.0,7.0,1.0,Rest
750000.0625,750000.0625,750000.0625,138944.078125,-161373.34375,750000.0625,750000.0625,750000.0625,0.033447265625,0.965576171875,0.03955078125,-10.925292015075684,5.218505382537842,3.906249761581421,20.0,8.0,1.0,Rest
750000.0625,750000.0625,750000.0625,723234.875,669337.9375,750000.0625,750000.0625,750000.0625,0.035888671875,0.9677734375,0.036865234375,-10.772704124450684,6.835937023162842,5.371093273162842,20.0,9.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.041259765625,0.96826171875,0.03466796875,-10.284422874450684,7.476806163787842,5.889892101287842,20.0,10.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.044677734375,0.96630859375,0.03125,-9.704588890075684,7.934569835662842,5.981444835662842,20.0,11.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.04638671875,0.968017578125,0.032470703125,-9.246825218200684,8.300780296325684,5.889892101287842,20.0,12.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.04833984375,0.969482421875,0.03076171875,-8.789061546325684,8.483885765075684,5.767821788787842,20.0,13.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.0498046875,0.970458984375,0.031005859375,-8.361815452575684,8.911131858825684,5.706786632537842,20.0,14.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,750000.0625,0.04736328125,0.9716796875,0.0302734375,-8.148192405700684,9.155272483825684,5.645751476287842,20.0,15.0,1.0,Rest
708051.5625,750000.0625,750000.0625,676426.25,732959.625,680165.75,742527.9375,666718.4375,0.046142578125,0.972412109375,0.02734375,-8.178709983825684,9.429930686950684,5.676269054412842,20.0,16.0,1.0,Rest
602782.25,748609.125,750000.0625,575597.5625,623959.375,578824.75,631672.25,567639.375,0.041259765625,0.971923828125,0.02392578125,-8.117674827575684,9.704588890075684,5.554198741912842,20.0,17.0,1.0,Rest
519808.78125,645485.4375,750000.0625,496042.90625,538000.5,498933.96875,544289.125,489375.46875,0.039306640625,0.969482421875,0.02294921875,-8.026122093200684,9.887694358825684,5.401610851287842,20.0,18.0,1.0,Rest
451777.15625,560860.5625,750000.0625,430731.8125,467392.15625,433397.03125,472669.21875,425019.15625,0.037109375,0.9677734375,0.022216796875,-7.873534679412842,10.070799827575684,5.218505382537842,20.0,19.0,1.0,Rest
396356.875,491718.8125,750000.0625,377667.6875,409750.21875,379995.84375,414453.3125,372997.96875,0.03564453125,0.964599609375,0.01953125,-7.690429210662842,10.284422874450684,5.187987804412842,20.0,20.0,1.0,Rest
366086.625,454208.75,750000.0625,348948.21875,378642.875,351034.4375,382814.40625,345085.1875,0.035400390625,0.9638671875,0.01904296875,-7.507323741912842,10.345458030700684,4.943847179412842,20.0,21.0,1.0,Rest
354225.1875,439705.78125,750000.0625,337592.28125,366590.4375,339693.78125,370356.09375,333994.71875,0.03369140625,0.96435546875,0.01708984375,-7.415771007537842,10.498045921325684,4.730224132537842,20.0,22.0,1.0,Rest
344445.0625,427665.6875,750000.0625,328176.71875,356563.4375,330277.78125,360087.4375,324729.8125,0.03369140625,0.964599609375,0.018798828125,-7.324218273162842,10.650633811950684,4.760741710662842,20.0,23.0,1.0,Rest
335421.90625,416489.5625,750000.0625,319484.75,347228.03125,321533.625,350626.125,316177.25,0.031494140625,0.96533203125,0.017578125,-7.263183116912842,10.681151390075684,4.669188976287842,20.0,24.0,1.0,Rest
