EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
750000.0625,710742.25,750000.0625,601618.3125,-246484.671875,750000.0625,750000.0625,750000.0625,-0.287353515625,0.921875,0.08251953125,0.0,0.0,0.0,66.66667175292969,1.0,1.0,Rest
750000.0625,334454.53125,750000.0625,750000.0625,-355514.09375,750000.0625,750000.0625,750000.0625,-0.29443359375,0.932373046875,0.0771484375,0.0,0.0,0.0,66.66667175292969,2.0,1.0,Rest
750000.0625,174668.515625,750000.0625,750000.0625,-284562.5625,750000.0625,750000.0625,750000.0625,-0.296630859375,0.937255859375,0.074462890625,0.0,0.0,0.0,66.66667175292969,3.0,1.0,Rest
750000.0625,241730.90625,577147.4375,750000.0625,-186966.984375,750000.0625,750000.0625,750000.0625,-0.299560546875,0.939697265625,0.07421875,0.0,0.0,0.0,66.66667175292969,4.0,1.0,Rest
750000.0625,405078.53125,707226.1875,750000.0625,-131701.671875,750000.0625,750000.0625,750000.0625,-0.300048828125,0.94140625,0.071533203125,0.0,0.0,0.0,66.66667175292969,5.0,1.0,Rest
750000.0625,664420.0,750000.0625,750000.0625,-52374.4296875,750000.0625,750000.0625,750000.0625,-0.299560546875,0.9384765625,0.0703125,-0.8239745497703552,-0.6713866591453552,-0.7629393935203552,66.66667175292969,6.0,1.0,Rest
750000.0625,743580.5,750000.0625,725331.375,92608.46875,750000.0625,750000.0625,750000.0625,-0.29833984375,0.938720703125,0.0693359375,-5.920409679412842,-5.249022960662842,-5.310058116912842,66.66667175292969,7.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,203461.40625,742237.1875,750000.0625,750000.0625,-0.29736328125,0.938720703125,0.0703125,-0.9460448622703552,-1.5563963651657104,-0.8544921278953552,66.66667175292969,8.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,256762.1875,750000.0625,750000.0625,750000.0625,-0.300048828125,0.935302734375,0.072265625,0.6103515028953552,-0.4577636420726776,0.5187987685203552,66.66667175292969,9.0,1.0,Rest
750000.0625,750000.0625,750000.0625,750000.0625,330778.46875,750000.0625,750000.0625,750000.0625,-0.29931640625,0.93603515625,0.068603515625,1.0681151151657104,-0.1220703050494194,0.9155272841453552,66.66667175292969,10.0,1.0,Rest
